### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'XRB/USDT', 'XRB/BTC'], 'Unbalance factor': 1.0078999633580907, 'Volume': 0.00019609573808000003, 'Volumes': [0.00019609573808000003, 0.0005393503462277076, 0.525008], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-21-56'}
{'profit_coin': 'BTC', 'trair': ['DADI/BTC', 'DADI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037813338583967, 'Volume': 4.1059115999999995e-08, 'Volumes': [6.828130990799998e-13, 0.00016959568773234197, 6e-07], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-21-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MANA/ETH', 'MANA/BTC'], 'Unbalance factor': 1.0038792477022838, 'Volume': 3.0536000000000003e-06, 'Volumes': [4.466539859216817e-05, 0.012079113924050634, 5.297996000000001e-11], 'Sequence': 'straight', 'Time Stamp': '18-07-17-21-59'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PARETO/ETH', 'PARETO/BTC'], 'Unbalance factor': 1.0123173750930285, 'Volume': 9.44e-06, 'Volumes': [0.0001380800899626891, 0.27683284457478, 2.2278399999999997e-11], 'Sequence': 'straight', 'Time Stamp': '18-07-17-21-59'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'XRB/USDT', 'XRB/BTC'], 'Unbalance factor': 1.0086824369794432, 'Volume': 0.01302672, 'Volumes': [0.01302672, 0.03582926386368, 34.87462854389206], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-03'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0035865657534244, 'Volume': 6.846898999999999e-06, 'Volumes': [4.6880025916200993e-07, 2.197854579e-10, 3.1264378995433786], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-06'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'XRB/USDT', 'XRB/ETH'], 'Unbalance factor': 1.0092495235901084, 'Volume': 1.21457735113, 'Volumes': [1.21457735113, 3.419278158901176, 217.276807], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-08'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.006447433014617, 'Volume': 0.000293244456, 'Volumes': [0.000293244456, 8.5188394201368e-05, 7.4164], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-31'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'DRGN/USDT', 'DRGN/BTC'], 'Unbalance factor': 1.00597529238666, 'Volume': 0.00174453813, 'Volumes': [0.00174453813, 0.004786099708917122, 8.76281502699e-08], 'Sequence': 'straight', 'Time Stamp': '18-07-17-22-31'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HAV/ETH', 'HAV/BTC'], 'Unbalance factor': 1.003812147667211, 'Volume': 4.032e-13, 'Volumes': [5.8923773068065284e-12, 6.868824531516184e-10, 1.6257024e-17], 'Sequence': 'straight', 'Time Stamp': '18-07-17-22-33'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZPT/ETH', 'ZPT/BTC'], 'Unbalance factor': 1.0074317187062936, 'Volume': 0.010673171080000002, 'Volumes': [0.0007295877699546436, 8.997483220440002e-07, 1865.9390000000003], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-36'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'LTC/USDT', 'LTC/BTC'], 'Unbalance factor': 1.0032358768557401, 'Volume': 0.007300000001999999, 'Volumes': [0.007300000001999999, 0.6497290322780079, 0.6006747306837816], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-38'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0069553545871561, 'Volume': 6.838513e-06, 'Volumes': [4.6765260051169005e-07, 2.195162673e-10, 3.1369325688073397], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-41'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.007176962385321, 'Volume': 6.840018000000001e-06, 'Volumes': [4.678584624032401e-07, 2.1956457780000004e-10, 3.137622935779817], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-49'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0032477432477298, 'Volume': 0.02406982, 'Volumes': [0.02406982, 0.00694192864656, 611.2194007110209], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-52'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HAV/ETH', 'HAV/BTC'], 'Unbalance factor': 1.0041194053142242, 'Volume': 4.032e-13, 'Volumes': [5.8911685509785524e-12, 6.872336799045509e-10, 1.6257024e-17], 'Sequence': 'straight', 'Time Stamp': '18-07-17-22-54'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'MANA/ETH', 'MANA/BTC'], 'Unbalance factor': 1.0035545640157923, 'Volume': 1.315566e-06, 'Volumes': [8.996116576860001e-08, 3.423102732e-10, 0.0742], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-55'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0069983509174314, 'Volume': 6.838805000000001e-06, 'Volumes': [4.676925382802501e-07, 2.1952564050000003e-10, 3.1370665137614684], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-22-56'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PLAY/ETH', 'PLAY/BTC'], 'Unbalance factor': 1.0077865678899085, 'Volume': 6.844158000000001e-06, 'Volumes': [4.6842498728964005e-07, 2.1969747180000002e-10, 3.1395220183486243], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-03'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.0030051544936038, 'Volume': 0.002738457414, 'Volumes': [0.039953566682715456, 6.624231770682148, 7.782695970588e-08], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-03'}
{'profit_coin': 'ETH', 'trair': ['CS/ETH', 'CS/USDT', 'ETH/USDT'], 'Unbalance factor': 1.004746357204994, 'Volume': 0.00028258355999999997, 'Volumes': [0.4935957379912663, 8.122129714944e-05, 0.00028258355999999997], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-07'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.003282189879518, 'Volume': 3.5449299999999997e-06, 'Volumes': [2.4275896880729996e-07, 2.1553174399999998e-10, 0.8542], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-09'}
{'profit_coin': 'ETH', 'trair': ['CS/ETH', 'CS/USDT', 'ETH/USDT'], 'Unbalance factor': 1.003869615183, 'Volume': 0.00028258355999999997, 'Volumes': [0.4931650261780104, 8.122129714944e-05, 0.00028258355999999997], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-14'}
