### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['DNA/BTC', 'DNA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0040375591285804, 'Volume': 8e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-11-36'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.0321443282868525, 'Volume': 6.949255e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-11-40'}
{'profit_coin': 'BTC', 'trair': ['EOS/BTC', 'EOS/NEO', 'NEO/BTC'], 'Unbalance factor': 1.009064800074816, 'Volume': 3.486839999999999e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-11-44'}
{'profit_coin': 'USDT', 'trair': ['EOS/USDT', 'EOS/NEO', 'NEO/USDT'], 'Unbalance factor': 1.0037368614895767, 'Volume': 3.3902270999999996e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-11-44'}
{'profit_coin': 'BTC', 'trair': ['DNA/BTC', 'DNA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.021719410536636, 'Volume': 4.72e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-11-51'}
{'profit_coin': 'BTC', 'trair': ['DTA/BTC', 'DTA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0031452654152586, 'Volume': 1.09e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-00'}
{'profit_coin': 'BTC', 'trair': ['GAS/BTC', 'GAS/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0034327407987471, 'Volume': 4.8270600000000005e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-04'}
{'profit_coin': 'USDT', 'trair': ['KCS/USDT', 'NEO/KCS', 'NEO/USDT'], 'Unbalance factor': 1.0041853018293587, 'Volume': 0.008006734729, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-04'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0089986357435197, 'Volume': 4.4824e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-07'}
{'profit_coin': 'USDT', 'trair': ['DRGN/USDT', 'DRGN/KCS', 'KCS/USDT'], 'Unbalance factor': 1.0129772828460577, 'Volume': 2.83002e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-07'}
{'profit_coin': 'BTC', 'trair': ['DTA/BTC', 'DTA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0042202006679353, 'Volume': 1.09e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-07'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.019584015900621, 'Volume': 6.920448e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KCS/ETH', 'KCS/BTC'], 'Unbalance factor': 1.0035350036359563, 'Volume': 0.0033094791, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NULS/ETH', 'NULS/BTC'], 'Unbalance factor': 1.0030855974699557, 'Volume': 6.920448e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-09'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'KCS/USDT', 'KCS/ETH'], 'Unbalance factor': 1.0059025963040313, 'Volume': 0.3764886488, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-11'}
{'profit_coin': 'BTC', 'trair': ['GAS/BTC', 'GAS/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0261730617756273, 'Volume': 0.00030449997200000003, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-11'}
{'profit_coin': 'BTC', 'trair': ['KCS/BTC', 'TKY/KCS', 'TKY/BTC'], 'Unbalance factor': 1.0174666666666667, 'Volume': 0.00023584368599999998, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-11'}
{'profit_coin': 'ETH', 'trair': ['KCS/ETH', 'TKY/KCS', 'TKY/ETH'], 'Unbalance factor': 1.0228869565217393, 'Volume': 0.00029246256, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-12'}
{'profit_coin': 'USDT', 'trair': ['KCS/USDT', 'TKY/KCS', 'TKY/USDT'], 'Unbalance factor': 1.0146258140279705, 'Volume': 1.5298470000000002, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-12'}
{'profit_coin': 'KCS', 'trair': ['NEO/KCS', 'TKY/NEO', 'TKY/KCS'], 'Unbalance factor': 1.0208769332856926, 'Volume': 0.00164832, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-12'}
{'profit_coin': 'BTC', 'trair': ['BNTY/BTC', 'BNTY/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0039408639593908, 'Volume': 3.9e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-13'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0153648412180163, 'Volume': 2.86344e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-12-14'}
{'profit_coin': 'BTC', 'trair': ['CS/BTC', 'CS/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0080727482678984, 'Volume': 1.8654419999999999e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-12-14'}
