### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CS/BTC', 'CS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.005651066186479, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-12-21'}
{'profit_coin': 'BTC', 'trair': ['CS/BTC', 'CS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0055199884852157, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-12-29'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.0055564931114815, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-12-37'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0069263527053167, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-13-09'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.005270963943092, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-13-09'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0077851010886467, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-13-10'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SNOV/ETH', 'SNOV/BTC'], 'Unbalance factor': 1.003870927152318, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-13-14'}
{'profit_coin': 'BTC', 'trair': ['AOA/BTC', 'AOA/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0212651781294964, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-13-16'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.006270528515975, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-13-17'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.006128429473877, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-13-25'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.003222101867572, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-13-49'}
{'profit_coin': 'BTC', 'trair': ['BCH/BTC', 'BCH/USDT', 'BTC/USDT'], 'Unbalance factor': 1.0037757255831288, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-13-57'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0036478572067742, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-14-06'}
{'profit_coin': 'ETH', 'trair': ['CS/ETH', 'CS/USDT', 'ETH/USDT'], 'Unbalance factor': 1.0031491197948061, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-14-07'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'FOTA/ETH', 'FOTA/BTC'], 'Unbalance factor': 1.0065307460031365, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-14-08'}
