### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0040171283497885, 'Volume': 9.5191360944e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-06'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'SPHTX/ETH', 'SPHTX/BTC'], 'Unbalance factor': 1.006654237945259, 'Volume': 3.13e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-07'}
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0060699568181817, 'Volume': 6.167040000000001e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-10'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.005491037735849, 'Volume': 3.67e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-10'}
{'profit_coin': 'BTC', 'trair': ['ELIX/BTC', 'ELIX/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0092623754448398, 'Volume': 3.221e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-11'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0050322620391272, 'Volume': 0.00177152149902, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-13'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'UKG/ETH', 'UKG/BTC'], 'Unbalance factor': 1.0036807831669043, 'Volume': 0.0049184760008999994, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-14'}
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0054386029545455, 'Volume': 6.167040000000001e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-17'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.004550990566038, 'Volume': 3.67e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-17'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.0035836402187117, 'Volume': 0.004686020444, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-19'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ING/ETH', 'ING/BTC'], 'Unbalance factor': 1.0032414532411158, 'Volume': 7.06e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-19'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.003156284232548, 'Volume': 7.098851000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-21'}
