### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'INS/ETH', 'INS/BTC'], 'Unbalance factor': 1.0275005376086406, 'Volume': 6.301407e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-15-17-06'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0075870341469195, 'Volume': 1.10961946e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-39'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'TKY/USDT', 'TKY/BTC'], 'Unbalance factor': 1.0047958074673862, 'Volume': 0.02497531, 'Sequence': 'straight', 'Time Stamp': '18-07-15-17-44'}
{'profit_coin': 'BTC', 'trair': ['CAT/BTC', 'CAT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0036010047619048, 'Volume': 1.21e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-15-17-44'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0041420034479955, 'Volume': 7.075942999999999e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-46'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.003553398019802, 'Volume': 2.1777620000000004e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-48'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TRAC/ETH', 'TRAC/BTC'], 'Unbalance factor': 1.0033622493203882, 'Volume': 7.072056000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-49'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0036375583644894, 'Volume': 4.30291117215e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-51'}
{'profit_coin': 'BTC', 'trair': ['CAT/BTC', 'CAT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0049209166666666, 'Volume': 1.23e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-15-17-52'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0053306356092326, 'Volume': 7.084319e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-59'}
